;FW_ID;Hab;Trophic;d13C_observed;d15N_observed;d13C_predicted;d15N_predicted;Ecosystem_Type
247;FWB_153;Pelagic;Primary_resource;NA;NA;-27,19570241;1,741304207;Lotic
248;FWB_153;Pelagic;Primary_consumer;NA;NA;-27,50685884;2,015446823;Lotic
249;FWB_154;Benthic;Primary_consumer;-26;2,16091954;-25,35544186;2,583917786;Lotic
250;FWB_154;Benthic;Primary_resource;-23,80487805;3,172413793;-25,04428543;2,30977517;Lotic
251;FWB_154;Pelagic;Primary_resource;NA;NA;-27,19570241;1,741304207;Lotic
252;FWB_154;Pelagic;Primary_consumer;NA;NA;-27,50685884;2,015446823;Lotic
253;FWB_155;Benthic;Primary_consumer;-25,18699187;2,964705882;-25,35544186;2,583917786;Lotic
254;FWB_155;Benthic;Primary_resource;-22,01626016;2,211764706;-25,04428543;2,30977517;Lotic
255;FWB_155;Pelagic;Primary_resource;NA;NA;-27,19570241;1,741304207;Lotic
256;FWB_155;Pelagic;Primary_consumer;NA;NA;-27,50685884;2,015446823;Lotic
257;FWB_156;Benthic;Primary_consumer;-28,03827307;13,83751029;-26,19958155;12,35073288;Lotic
258;FWB_156;Pelagic;Primary_consumer;-29,39225661;12,21364701;-28,35099853;11,78226192;Lotic
259;FWB_156;Benthic;Primary_resource;-19,74760194;10,59701493;-25,88842512;10,71135753;Lotic
260;FWB_156;Pelagic;Primary_resource;NA;NA;-28,03984211;10,14288657;Lotic
261;FWB_157;Benthic;Primary_resource;-24,95463691;12,12121212;-25,88842512;10,71135753;Lotic
262;FWB_157;Benthic;Primary_consumer;-28,51348873;15,50896231;-26,19958155;12,35073288;Lotic
263;FWB_157;Pelagic;Primary_consumer;-28,54666301;13,65852106;-28,35099853;11,78226192;Lotic
264;FWB_157;Pelagic;Primary_resource;NA;NA;-28,03984211;10,14288657;Lotic
265;FWB_158;Benthic;Primary_consumer;-26,96;13,98624113;-26,00221577;12,28284431;Lotic
266;FWB_158;Pelagic;Primary_resource;NA;NA;-27,84247633;10,13730855;Lotic
267;FWB_158;Benthic;Primary_resource;NA;NA;-25,69105935;10,70577951;Lotic
268;FWB_158;Pelagic;Primary_consumer;NA;NA;-28,15363276;11,71437335;Lotic
269;FWB_159;Benthic;Primary_consumer;-26,39;10,50870567;-26,00221577;12,28284431;Lotic
270;FWB_159;Pelagic;Primary_resource;NA;NA;-27,84247633;10,13730855;Lotic
271;FWB_159;Benthic;Primary_resource;NA;NA;-25,69105935;10,70577951;Lotic
272;FWB_159;Pelagic;Primary_consumer;NA;NA;-28,15363276;11,71437335;Lotic
273;FWB_16;Pelagic;Primary_resource;NA;NA;-23,57513647;3,826346327;Lentic
274;FWB_16;Benthic;Primary_resource;NA;NA;-19,63827181;2,974255936;Lentic
275;FWB_16;Pelagic;Primary_consumer;NA;NA;-26,0142711;5,836393932;Lentic
276;FWB_16;Benthic;Primary_consumer;NA;NA;-22,07740644;4,984303542;Lentic
277;FWB_160;Benthic;Primary_consumer;-29,36934143;13,60414248;-26,7030984;12,86980047;Lotic
278;FWB_160;Pelagic;Primary_consumer;-31,02001789;14,17529922;-28,85451539;12,30132951;Lotic
279;FWB_160;Benthic;Primary_resource;-22,86361511;12,47703866;-26,39194198;11,21284346;Lotic
